




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (150)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
negative regulation of transferase activity (GO:0051348)	306	1	2.23	-	.45	7.30E-01	1.00E00
RNA splicing, via transesterification reactions (GO:0000375)	306	1	2.23	-	.45	7.30E-01	1.00E00
immune effector process (GO:0002252)	939	3	6.84	-	.44	1.66E-01	1.00E00
regulation of cell motility (GO:2000145)	954	3	6.95	-	.43	1.68E-01	1.00E00
negative regulation of inflammatory response (GO:0050728)	320	1	2.33	-	.43	7.33E-01	1.00E00
response to oxygen-containing compound (GO:1901700)	1604	5	11.68	-	.43	4.45E-02	1.00E00
regulation of innate immune response (GO:0045088)	322	1	2.35	-	.43	7.34E-01	1.00E00
metal ion transport (GO:0030001)	326	1	2.37	-	.42	7.35E-01	1.00E00
activation of protein kinase activity (GO:0032147)	328	1	2.39	-	.42	7.35E-01	1.00E00
glycerophospholipid metabolic process (GO:0006650)	331	1	2.41	-	.41	7.36E-01	1.00E00
cellular response to nitrogen compound (GO:1901699)	664	2	4.84	-	.41	2.46E-01	1.00E00
response to molecule of bacterial origin (GO:0002237)	336	1	2.45	-	.41	5.24E-01	1.00E00
cellular response to peptide (GO:1901653)	339	1	2.47	-	.41	5.24E-01	1.00E00
regulation of cellular component movement (GO:0051270)	1032	3	7.52	-	.40	1.27E-01	1.00E00
cellular response to external stimulus (GO:0071496)	344	1	2.51	-	.40	5.25E-01	1.00E00
defense response to bacterium (GO:0042742)	350	1	2.55	-	.39	5.25E-01	1.00E00
negative regulation of protein phosphorylation (GO:0001933)	353	1	2.57	-	.39	5.26E-01	1.00E00
microtubule-based movement (GO:0007018)	354	1	2.58	-	.39	5.26E-01	1.00E00
cellular response to oxygen-containing compound (GO:1901701)	1075	3	7.83	-	.38	9.31E-02	1.00E00
multicellular organismal homeostasis (GO:0048871)	364	1	2.65	-	.38	5.28E-01	1.00E00
regulation of binding (GO:0051098)	365	1	2.66	-	.38	5.28E-01	1.00E00
glycoprotein metabolic process (GO:0009100)	372	1	2.71	-	.37	5.30E-01	1.00E00
negative regulation of immune response (GO:0050777)	373	1	2.72	-	.37	5.30E-01	1.00E00
response to metal ion (GO:0010038)	379	1	2.76	-	.36	5.32E-01	1.00E00
leukocyte migration (GO:0050900)	379	1	2.76	-	.36	5.32E-01	1.00E00
cilium assembly (GO:0060271)	385	1	2.80	-	.36	5.34E-01	1.00E00
humoral immune response (GO:0006959)	386	1	2.81	-	.36	5.34E-01	1.00E00
blood circulation (GO:0008015)	390	1	2.84	-	.35	5.36E-01	1.00E00
regulation of immune response (GO:0050776)	1183	3	8.62	-	.35	5.00E-02	1.00E00
negative regulation of phosphorylation (GO:0042326)	395	1	2.88	-	.35	3.76E-01	1.00E00
glycerolipid metabolic process (GO:0046486)	400	1	2.91	-	.34	3.76E-01	1.00E00
negative regulation of defense response (GO:0031348)	402	1	2.93	-	.34	3.76E-01	1.00E00
MAPK cascade (GO:0000165)	402	1	2.93	-	.34	3.76E-01	1.00E00
response to peptide hormone (GO:0043434)	406	1	2.96	-	.34	3.77E-01	1.00E00
cilium organization (GO:0044782)	408	1	2.97	-	.34	3.77E-01	1.00E00
response to hormone (GO:0009725)	819	2	5.97	-	.34	1.35E-01	1.00E00
response to lipid (GO:0033993)	831	2	6.05	-	.33	1.37E-01	1.00E00
regulation of small molecule metabolic process (GO:0062012)	421	1	3.07	-	.33	3.79E-01	1.00E00
regulation of membrane potential (GO:0042391)	437	1	3.18	-	.31	3.83E-01	1.00E00
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	1	3.21	-	.31	3.84E-01	1.00E00
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	2	6.60	-	.30	6.97E-02	1.00E00
sensory perception of smell (GO:0007608)	468	1	3.41	-	.29	2.69E-01	1.00E00
circulatory system process (GO:0003013)	481	1	3.50	-	.29	2.71E-01	1.00E00
cellular response to lipid (GO:0071396)	481	1	3.50	-	.29	2.71E-01	1.00E00
response to peptide (GO:1901652)	488	1	3.55	-	.28	2.72E-01	1.00E00
regulation of body fluid levels (GO:0050878)	494	1	3.60	-	.28	2.74E-01	1.00E00
positive regulation of cell migration (GO:0030335)	520	1	3.79	-	.26	1.91E-01	1.00E00
regulation of hormone levels (GO:0010817)	538	1	3.92	-	.26	1.92E-01	1.00E00
positive regulation of cell motility (GO:2000147)	545	1	3.97	-	.25	1.93E-01	1.00E00
positive regulation of cellular component movement (GO:0051272)	558	1	4.06	-	.25	1.96E-01	1.00E00
positive regulation of locomotion (GO:0040017)	560	1	4.08	-	.25	1.97E-01	1.00E00
cellular metal ion homeostasis (GO:0006875)	561	1	4.09	-	.24	1.97E-01	1.00E00
chemical homeostasis (GO:0048878)	1139	2	8.30	-	.24	1.81E-02	1.00E00
metal ion homeostasis (GO:0055065)	626	1	4.56	-	.22	9.50E-02	1.00E00
cellular cation homeostasis (GO:0030003)	642	1	4.68	-	.21	9.52E-02	1.00E00
cellular ion homeostasis (GO:0006873)	659	1	4.80	-	.21	9.65E-02	1.00E00
cation homeostasis (GO:0055080)	710	1	5.17	-	.19	6.74E-02	1.00E00
response to bacterium (GO:0009617)	721	1	5.25	-	.19	6.83E-02	1.00E00
inorganic ion homeostasis (GO:0098771)	724	1	5.27	-	.19	6.86E-02	1.00E00
positive regulation of immune response (GO:0050778)	747	1	5.44	-	.18	4.66E-02	1.00E00
cellular chemical homeostasis (GO:0055082)	762	1	5.55	-	.18	4.69E-02	1.00E00
ion homeostasis (GO:0050801)	773	1	5.63	-	.18	4.75E-02	1.00E00
respiratory burst involved in defense response (GO:0002679)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
response to lead ion (GO:0010288)	24	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of chronic inflammatory response (GO:0002678)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of chronic inflammatory response (GO:0002677)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
heat acclimation (GO:0010286)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of chronic inflammatory response (GO:0002676)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of acute inflammatory response (GO:0002675)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
negative regulation of acute inflammatory response (GO:0002674)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of acute inflammatory response (GO:0002673)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
carbohydrate transmembrane transport (GO:0034219)	41	0	.30	-	 < 0.01	1.00E00	1.00E00
protein hexamerization (GO:0034214)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
quinolinate catabolic process (GO:0034213)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell anergy (GO:0002669)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of T cell anergy (GO:0002667)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of T cell tolerance induction (GO:0002666)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of T cell tolerance induction (GO:0002664)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
detoxification of copper ion (GO:0010273)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of B cell tolerance induction (GO:0002663)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to silver ion (GO:0010272)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of B cell tolerance induction (GO:0002661)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of peripheral tolerance induction (GO:0002660)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glycolipid translocation (GO:0034203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to oleic acid (GO:0034201)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
response to selenium ion (GO:0010269)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of peripheral tolerance induction (GO:0002658)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to vitamin B1 (GO:0010266)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
SCF complex assembly (GO:0010265)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction dependent upon immune response (GO:0002654)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction dependent upon immune response (GO:0002652)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction to self antigen (GO:0002651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
animal organ senescence (GO:0010260)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of chromatin assembly or disassembly (GO:0045799)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of chromatin assembly or disassembly (GO:0045798)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of intestinal cholesterol absorption (GO:0045797)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of intestinal cholesterol absorption (GO:0045796)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell volume (GO:0045795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell volume (GO:0045794)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell size (GO:0045793)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell size (GO:0045792)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
multicellular organism aging (GO:0010259)	35	0	.25	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction to self antigen (GO:0002649)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of central tolerance induction (GO:0002648)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex assembly (GO:0010257)	66	0	.48	-	 < 0.01	1.00E00	1.00E00
regulation of central tolerance induction (GO:0002646)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose mediated signaling pathway (GO:0010255)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of tolerance induction (GO:0002645)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of tolerance induction (GO:0002643)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
positive regulation of bone resorption (GO:0045780)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
establishment or maintenance of transmembrane electrochemical gradient (GO:0010248)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of immunoglobulin production (GO:0002638)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of germinal center formation (GO:0002636)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of germinal center formation (GO:0002635)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of germinal center formation (GO:0002634)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of bone resorption (GO:0045779)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood pressure (GO:0045777)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
negative regulation of blood pressure (GO:0045776)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
negative regulation of T cell antigen processing and presentation (GO:0002626)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of T cell antigen processing and presentation (GO:0002625)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
vascular transport (GO:0010232)	87	0	.63	-	 < 0.01	1.00E00	1.00E00
regulation of B cell antigen processing and presentation (GO:0002622)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of asymmetric cell division (GO:0045769)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of angiogenesis (GO:0045766)	160	0	1.17	-	 < 0.01	6.34E-01	1.00E00
positive regulation of cellular amino acid metabolic process (GO:0045764)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of cellular amino acid metabolic process (GO:0045763)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of adenylate cyclase activity (GO:0045762)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of action potential (GO:0045760)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage antigen processing and presentation (GO:0002617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to lithium ion (GO:0010226)	24	0	.17	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage antigen processing and presentation (GO:0002616)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to UV-B (GO:0010224)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of action potential (GO:0045759)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of Toll signaling pathway (GO:0045751)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of DNA methylation (GO:0010216)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
positive regulation of dendritic cell antigen processing and presentation (GO:0002606)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of dendritic cell antigen processing and presentation (GO:0002605)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of dendritic cell antigen processing and presentation (GO:0002604)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
regulation of hexokinase activity (GO:1903299)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903298)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of hypoxia-induced intrinsic apoptotic signaling pathway (GO:1903297)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of Notch signaling pathway (GO:0045747)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutamate secretion, neurotransmission (GO:1903296)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of Notch signaling pathway (GO:0045746)	39	0	.28	-	 < 0.01	1.00E00	1.00E00
regulation of glutamate secretion, neurotransmission (GO:1903294)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of fibroblast growth factor receptor signaling pathway (GO:0045743)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
protein localization to Golgi membrane (GO:1903292)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor receptor signaling pathway (GO:0045742)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
positive regulation of epidermal growth factor-activated receptor activity (GO:0045741)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA replication (GO:0045740)	40	0	.29	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA repair (GO:0045739)	75	0	.55	-	 < 0.01	1.00E00	1.00E00
positive regulation of potassium ion import across plasma membrane (GO:1903288)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of DNA repair (GO:0045738)	35	0	.25	-	 < 0.01	1.00E00	1.00E00
arginine catabolic process to proline (GO:0019493)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of potassium ion import (GO:1903286)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0045736)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of hydrogen peroxide catabolic process (GO:1903285)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of glutathione peroxidase activity (GO:1903284)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of glutathione peroxidase activity (GO:1903282)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium:sodium antiporter activity (GO:1903281)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium:sodium antiporter activity (GO:1903280)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
respiratory burst (GO:0045730)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
response to glucagon (GO:0033762)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
cerebral cortex radially oriented cell migration (GO:0021799)	34	0	.25	-	 < 0.01	1.00E00	1.00E00
forebrain anterior/posterior pattern specification (GO:0021797)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cerebral cortex regionalization (GO:0021796)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
cerebral cortex cell migration (GO:0021795)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
thalamus development (GO:0021794)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
chemorepulsion of branchiomotor axon (GO:0021793)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium:sodium antiporter activity (GO:1903279)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion export across plasma membrane (GO:1903278)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
respiratory burst after phagocytosis (GO:0045728)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-alanine biosynthetic process (GO:0019483)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of translation (GO:0045727)	137	0	1.00	-	 < 0.01	6.30E-01	1.00E00
regulation of sodium ion export across plasma membrane (GO:1903276)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
beta-alanine metabolic process (GO:0019482)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
positive regulation of integrin biosynthetic process (GO:0045726)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
L-alanine catabolic process, by transamination (GO:0019481)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of glycogen biosynthetic process (GO:0045725)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of cilium assembly (GO:0045724)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of fatty acid biosynthetic process (GO:0045723)	21	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of gluconeogenesis (GO:0045721)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of integrin biosynthetic process (GO:0045720)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
ribosome localization (GO:0033750)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
branchiomotor neuron axon guidance (GO:0021785)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
postganglionic parasympathetic fiber development (GO:0021784)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
preganglionic parasympathetic fiber development (GO:0021783)	16	0	.12	-	 < 0.01	1.00E00	1.00E00
D-amino acid catabolic process (GO:0019478)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
glial cell fate commitment (GO:0021781)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process (GO:0019477)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glial cell fate specification (GO:0021780)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of glycogen biosynthetic process (GO:0045719)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
L-lysine catabolic process to acetyl-CoA (GO:0019474)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
negative regulation of fatty acid biosynthetic process (GO:0045717)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
positive regulation of tumor necrosis factor-mediated signaling pathway (GO:1903265)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
4-hydroxyproline metabolic process (GO:0019471)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
4-hydroxyproline catabolic process (GO:0019470)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oligodendrocyte cell fate commitment (GO:0021779)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
oligodendrocyte cell fate specification (GO:0021778)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in spinal cord motor neuron cell fate specification (GO:0021776)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
smoothened signaling pathway involved in ventral spinal cord interneuron specification (GO:0021775)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
olfactory bulb development (GO:0021772)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
lateral geniculate nucleus development (GO:0021771)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex disassembly (GO:1903259)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine decarboxylation via glycine cleavage system (GO:0019464)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ectoderm and mesoderm interaction (GO:0007499)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
multi-ciliated epithelial cell differentiation (GO:1903251)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
posterior midgut development (GO:0007497)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
visceral mesoderm-endoderm interaction involved in midgut development (GO:0007495)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
midgut development (GO:0007494)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
endodermal cell fate determination (GO:0007493)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
orbitofrontal cortex development (GO:0021769)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleus accumbens development (GO:0021768)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mammillary body development (GO:0021767)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hippocampus development (GO:0021766)	81	0	.59	-	 < 0.01	1.00E00	1.00E00
amygdala development (GO:0021764)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
substantia nigra development (GO:0021762)	47	0	.34	-	 < 0.01	1.00E00	1.00E00
limbic system development (GO:0021761)	109	0	.79	-	 < 0.01	1.00E00	1.00E00
negative regulation of citrulline biosynthetic process (GO:1903249)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of citrulline biosynthetic process (GO:1903248)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process to taurine (GO:0019452)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of cardiac muscle hypertrophy in response to stress (GO:1903244)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cardiac muscle hypertrophy in response to stress (GO:1903243)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of cardiac muscle hypertrophy in response to stress (GO:1903242)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
U2-type prespliceosome assembly (GO:1903241)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
globus pallidus development (GO:0021759)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
putamen development (GO:0021758)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
caudate nucleus development (GO:0021757)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronephric duct morphogenesis (GO:0039023)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronephric duct development (GO:0039022)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
facial nucleus development (GO:0021754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronephric nephron tubule development (GO:0039020)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process to hypotaurine (GO:0019449)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
L-cysteine catabolic process (GO:0019448)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
vestibular nucleus development (GO:0021750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of leukocyte tethering or rolling (GO:1903238)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of leukocyte tethering or rolling (GO:1903237)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of leukocyte tethering or rolling (GO:1903236)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to acetyl-CoA (GO:0019442)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903235)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to kynurenine (GO:0019441)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
tryptophan catabolic process to indole-3-acetate (GO:0019440)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of calcium ion-dependent exocytosis of neurotransmitter (GO:1903233)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
pronephric nephron development (GO:0039019)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
pattern specification involved in pronephros development (GO:0039017)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
embryonic skeletal joint development (GO:0072498)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
principal sensory nucleus of trigeminal nerve development (GO:0021740)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mesenchymal stem cell differentiation (GO:0072497)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
triglyceride catabolic process (GO:0019433)	27	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of endodermal cell differentiation (GO:1903226)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
triglyceride biosynthetic process (GO:0019432)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
negative regulation of endodermal cell differentiation (GO:1903225)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of endodermal cell differentiation (GO:1903224)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
removal of superoxide radicals (GO:0019430)	13	0	.09	-	 < 0.01	1.00E00	1.00E00
positive regulation of oxidative stress-induced neuron death (GO:1903223)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
pronephric nephron tubule morphogenesis (GO:0039008)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronephric nephron morphogenesis (GO:0039007)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pronephric field specification (GO:0039003)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
midbrain-hindbrain boundary maturation (GO:0021732)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
allantoin biosynthetic process (GO:0019428)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ammonium transmembrane transport (GO:0072488)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA biosynthetic process from acetate (GO:0019427)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
trigeminal sensory nucleus development (GO:0021730)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein processing involved in protein targeting to mitochondrion (GO:1903217)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein processing involved in protein targeting to mitochondrion (GO:1903216)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein targeting to mitochondrion (GO:1903215)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of protein targeting to mitochondrion (GO:1903214)	45	0	.33	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction by chemical signal (GO:0003099)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
renal water transport (GO:0003097)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
renal sodium ion transport (GO:0003096)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
pressure natriuresis (GO:0003095)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
glomerular filtration (GO:0003094)	15	0	.11	-	 < 0.01	1.00E00	1.00E00
regulation of glomerular filtration (GO:0003093)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
renal water homeostasis (GO:0003091)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
medullary reticular formation development (GO:0021723)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
superior olivary nucleus maturation (GO:0021722)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
sulfide oxidation (GO:0019418)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
sulfur oxidation (GO:0019417)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
